Cargo,Provincia,Empresa,Descripción,Plataforma,URL
JEFE(A) DE AGENCIA,Azuay,Grifine,"Estudios universitarios en marketing, diseño de interiores, arquitectura y carrera afines. Excelente presencia Experiencia mínima de 1 año en atención al...",Jora,https://ec.jora.com/trabajo/JEFE-A-DE-3f0122de7567c1021a36175abdd5b0b7?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=7&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
ASESORES(AS) COMERCIAL,Guayas,Grifine,"Personal entre los 24 a 30 años de edad. * Excelente presencia y disponibilidad de tiempo completo, incluso los sábados. * Facilidad de palabra,...",Jora,https://ec.jora.com/trabajo/ASESORES-AS-COMERCIAL-4e24a2bfac3ef86f3aab36d251ebc3bb?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=8&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
AUXILIARES DE MANTENIMIENTO,Pichincha,Grifine,"Personal masculino entre los 22 a 30 años de edad Experiencia en las siguientes áreas: bodega, mensajería y servicios generales Disponibilidad de horarios...",Jora,https://ec.jora.com/trabajo/Auxiliares-de-Mantenimiento-b58a7c5d4a15c757a74de5f76b020dc3?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=9&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
CHOFER PROFESIONAL - GUAYAQUIL,Guayas,DISTHER,Asignar rutas de entrega de mercadería y priorizar los despachos para los clientes. Registrar valores recaudados por vendedores para posterior envió de...,Jora,https://ec.jora.com/trabajo/Chofer-5337f6ca94e76ff6a5e7e0fc7696a62c?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=10&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
ASISTENTE ADMINISTRATIVO - QUITO,Pichincha,DISTHER,Estudiante de carreras administrativas (últimos años de estudio). Experiencia mínima dos años. Sexo indistinto. Alta capacidad de análisis. Experiencia en...,Jora,https://ec.jora.com/trabajo/Asistente-Administrativo-2f87a315c5019d3e81275595de7f6639?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=11&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
SUBCONTADOR - GUAYAQUIL,Guayas,DISTHER,Asignar rutas de entrega de mercadería y priorizar los despachos para los clientes. Registrar valores recaudados por vendedores para posterior envió de...,Jora,https://ec.jora.com/trabajo/Subcontador-5732367c886b7f420d85bc075072f5cc?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=12&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
ASISTENTE DE CARTERA - GUAYAQUIL,Guayas,DISTHER,Asignar rutas de entrega de mercadería y priorizar los despachos para los clientes. Registrar valores recaudados por vendedores para posterior envió de...,Jora,https://ec.jora.com/trabajo/Asistente-de-cartera-5f2148594d8ef8ba8ae73412abc39b21?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=13&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
EJECUTIVO DE VENTAS - GUAYAQUIL,Guayas,DISTHER,Asignar rutas de entrega de mercadería y priorizar los despachos para los clientes. Registrar valores recaudados por vendedores para posterior envió de...,Jora,https://ec.jora.com/trabajo/Ejecutivo-de-Ventas-ad909d90219da6e2b3097afd3b011acc?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=14&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
CHOFER PROFECIONAL,Guayas,TONY,SER MUY PUNTUAL Y TENGA LA EMPRESA TODO LOS BENEFICIO CUMPLIDO,Jora,https://ec.jora.com/trabajo/Chofer-31eebc16d081a2bd0799e776a79f5887?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=15&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
Ecuador country manager | Ecuador | 2020,Ecuador,Chemonics International,"Chemonics seeks an Ecuador country manager for the anticipated USAID-funded South America Regional Initiative for Transnational Conservation Crimes program,...",Jora,https://ec.jora.com/trabajo/Ecuador-Country-Manager-0b52d4d7d8e7cecc6c478fe49cbe54fb?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=16&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
Maestro de Obra Civil - Guayaquil,Guayas,Telconet,"Supervisar y controlar el uso adecuado de materiales según el objeto de la obra, aplicando la norma establecida. Reportar de manera eficiente los trabajos...",Jora,https://ec.jora.com/trabajo/Maestro-8de64d8dd9e3b0ef2ab7c6b1c0cbd4b5?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=17&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
Ayudante de Obra Civil - Guayaquil,Guayas,Telconet,"Brindar soporte en trabajos de obra civil y afines. Organizar herramienta y materiales requeridos para el jefe de cuadrilla. Dar buen uso de la información,...",Jora,https://ec.jora.com/trabajo/Ayudante-de-Obra-c46054c413b95b7cd3b4323c80a1b0c9?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=18&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
Ayudante de bodega - Loja,Loja,Telconet,"Llevar control de ingresos de mercadería. Almacenar la mercadería recibida de acuerdo al procedimiento de almacenaje. Dar buen uso de la información,...",Jora,https://ec.jora.com/trabajo/Ayudante-de-bodega-15cd7da38cf102baa82f92a077f6f99c?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=19&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
VENDEDORES DE COBERTURA – CONSUMO MASIVO – QUITO,Pichincha,La Fabril,"De preferencia con estudios universitarios, en carreras Comerciales o afines. Experiencia Mínimo 2 años en el cargo o posiciones...",Jora,https://ec.jora.com/trabajo/Vendedores-19963f02a95503587dc97e2fbe7399b8?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ&sl=Ecuador&sol_srt=7a22321a-4224-4772-876e-7ae99576b3c7&sp=serp&sponsored=false&sq=&sr=20&tk=gLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj
DIRECTOR DE CONTROL DE CALIDAD,Tungurahua,BIOALIMENTAR,"Dirigir y desarrollar al equipo de Control de Calidad y demas equipos relacionados con la calidad e inocuidad, cumpliendo funciones, normas y demas...",Jora,https://ec.jora.com/trabajo/Control-de-Calidad-b49d61a1f4e1a7372efaca3d1f69d0c2?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj&sl=Ecuador&sol_srt=face6a99-c45c-4e5d-bed6-40e3d980c2b0&sp=serp&sponsored=false&sq=&sr=1&tk=gLdIoo0o_7j9exOCz8x6-VxvDQ96npEHG3fWknMSv
Vendedora de cosméticos,Pichincha,Grupo Empresarial,"Buscamos persona para la comercialización de cosmética bótanica con caracteristicas especiales, de alta calidad, a través de redes sociales. Con o sin...",Jora,https://ec.jora.com/trabajo/Vendedora-de-Cosm%C3%A9ticos-b07426f33f115fa3c67209516ed3aa40?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj&sl=Ecuador&sol_srt=face6a99-c45c-4e5d-bed6-40e3d980c2b0&sp=serp&sponsored=false&sq=&sr=2&tk=gLdIoo0o_7j9exOCz8x6-VxvDQ96npEHG3fWknMSv
Jefe de Producción | Human Consulting Strategies,Guayas,Human Consulting Strategies EC,"Para importante industria en la ciudad de guayaquil. Requisitos: Formación Académica: Tecnólogo, Ingeniero industrial o afines. Experiencia: 3 años en...",Jora,https://ec.jora.com/trabajo/Jefe-de-Producci%C3%B3n-f22d17c38cfa8acff6342db4b48fec7c?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-xNh3ri6kzopJhtthRRwj&sl=Ecuador&sol_srt=face6a99-c45c-4e5d-bed6-40e3d980c2b0&sp=serp&sponsored=false&sq=&sr=3&tk=gLdIoo0o_7j9exOCz8x6-VxvDQ96npEHG3fWknMSv
