Cargo,Provincia,Empresa,Descripción,Plataforma,URL
Maestro de Obra Civil - Guayaquil,Guayas,Telconet,"Supervisar y controlar el uso adecuado de materiales según el objeto de la obra, aplicando la norma establecida. Reportar de manera eficiente los trabajos...",Jora,https://ec.jora.com/trabajo/Maestro-8de64d8dd9e3b0ef2ab7c6b1c0cbd4b5?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-euzSYQfn8G9RFyU5x1pb&sl=Ecuador&sol_srt=b3214eac-67cb-4a5d-a505-4133e3aa2028&sp=serp&sponsored=false&sq=&sr=17&tk=gLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq
Ayudante de Obra Civil - Guayaquil,Guayas,Telconet,"Brindar soporte en trabajos de obra civil y afines. Organizar herramienta y materiales requeridos para el jefe de cuadrilla. Dar buen uso de la información,...",Jora,https://ec.jora.com/trabajo/Ayudante-de-Obra-c46054c413b95b7cd3b4323c80a1b0c9?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-euzSYQfn8G9RFyU5x1pb&sl=Ecuador&sol_srt=b3214eac-67cb-4a5d-a505-4133e3aa2028&sp=serp&sponsored=false&sq=&sr=18&tk=gLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq
Ayudante de bodega - Loja,Loja,Telconet,"Llevar control de ingresos de mercadería. Almacenar la mercadería recibida de acuerdo al procedimiento de almacenaje. Dar buen uso de la información,...",Jora,https://ec.jora.com/trabajo/Ayudante-de-bodega-15cd7da38cf102baa82f92a077f6f99c?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-euzSYQfn8G9RFyU5x1pb&sl=Ecuador&sol_srt=b3214eac-67cb-4a5d-a505-4133e3aa2028&sp=serp&sponsored=false&sq=&sr=19&tk=gLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq
VENDEDORES DE COBERTURA – CONSUMO MASIVO – QUITO,Pichincha,La Fabril,"De preferencia con estudios universitarios, en carreras Comerciales o afines. Experiencia Mínimo 2 años en el cargo o posiciones...",Jora,https://ec.jora.com/trabajo/Vendedores-19963f02a95503587dc97e2fbe7399b8?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26p%3D2%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-euzSYQfn8G9RFyU5x1pb&sl=Ecuador&sol_srt=b3214eac-67cb-4a5d-a505-4133e3aa2028&sp=serp&sponsored=false&sq=&sr=20&tk=gLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq
DIRECTOR DE CONTROL DE CALIDAD,Tungurahua,BIOALIMENTAR,"Dirigir y desarrollar al equipo de Control de Calidad y demas equipos relacionados con la calidad e inocuidad, cumpliendo funciones, normas y demas...",Jora,https://ec.jora.com/trabajo/Control-de-Calidad-b49d61a1f4e1a7372efaca3d1f69d0c2?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=1&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
Vendedora de cosméticos,Pichincha,Grupo Empresarial,"Buscamos persona para la comercialización de cosmética bótanica con caracteristicas especiales, de alta calidad, a través de redes sociales. Con o sin...",Jora,https://ec.jora.com/trabajo/Vendedora-de-Cosm%C3%A9ticos-b07426f33f115fa3c67209516ed3aa40?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=2&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
Jefe de Producción | Human Consulting Strategies,Guayas,Human Consulting Strategies EC,"Para importante industria en la ciudad de guayaquil. Requisitos: Formación Académica: Tecnólogo, Ingeniero industrial o afines. Experiencia: 3 años en...",Jora,https://ec.jora.com/trabajo/Jefe-de-Producci%C3%B3n-f22d17c38cfa8acff6342db4b48fec7c?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=3&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
ADMINISTRACION Y VENTAS,Guayas,TIA,De acuerdo a la feria de la USFQ mayo 2020 estamos receptando hojas de vida por este medio para tenerlos presentes cuando se realicen procesos de...,Jora,https://ec.jora.com/trabajo/Administracion-f7d61185151d14da9abdd65f276b7bbb?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=4&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
SCRUM MASTER,Pichincha,Banco Pichincha,"Planificar , facilitar y guiar la definición de objetivos de los proyectos, propósito del equipo, detección de riesgos y prácticas scrum en todas sus fases,...",Jora,https://ec.jora.com/trabajo/SCRUM-MASTER-81e462bf4c20fa3521219be040fff4ee?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=5&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
ASISTENTE DE COMUNICACION -EVENTUAL,Pichincha,Banco Pichincha,"En Banco Pichincha nos estamos transformando. Nuestros 114 años de trayectoria, nos ratifican que contar con el mejor talento humano es imprescindible para...",Jora,https://ec.jora.com/trabajo/Asistente-aaeef1025e3ceaa16c0b84939c717386?from_url=https%3A%2F%2Fec.jora.com%2Fj%3Fl%3DEcuador%26q%3D%26sp%3Dhomepage%26surl%3D0%26tk%3DgLdIoo0o_7j9exOCz8x6-7pFqxfBNK1ZEs1qftAuq&sl=Ecuador&sol_srt=94476702-1539-4628-8777-696994a26013&sp=serp&sponsored=false&sq=&sr=6&tk=gLdIoo0o_7j9exOCz8x6-3UjNap_O6vhsDix_m2AZ
